State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Chhattisgarh,MAHASAMUND,Moong(Green Gram),2002-03,Rabi,394,Hectare,54,Tonnes,0.137055838
Chhattisgarh,MAHASAMUND,Moong(Green Gram),2003-04,Kharif,3083,Hectare,713,Tonnes,0.231268245
Chhattisgarh,MAHASAMUND,Moong(Green Gram),2003-04,Rabi,515,Hectare,88,Tonnes,0.170873786
Chhattisgarh,RAIGARH,Moong(Green Gram),2001-02,Kharif,2096,Hectare,556,Tonnes,0.265267176
Chhattisgarh,RAIGARH,Moong(Green Gram),2001-02,Rabi,1533,Hectare,413,Tonnes,0.269406393
Chhattisgarh,RAIGARH,Moong(Green Gram),2002-03,Kharif,2120,Hectare,510,Tonnes,0.240566038
Chhattisgarh,RAIGARH,Moong(Green Gram),2002-03,Rabi,2505,Hectare,712,Tonnes,0.284231537
Chhattisgarh,RAIGARH,Moong(Green Gram),2003-04,Kharif,2115,Hectare,540,Tonnes,0.255319149
Chhattisgarh,RAIGARH,Moong(Green Gram),2003-04,Rabi,3706,Hectare,1071,Tonnes,0.288990826
Chhattisgarh,RAIPUR,Moong(Green Gram),2001-02,Kharif,486,Hectare,107,Tonnes,0.220164609
Chhattisgarh,RAIPUR,Moong(Green Gram),2001-02,Rabi,1525,Hectare,341,Tonnes,0.223606557
Chhattisgarh,RAIPUR,Moong(Green Gram),2002-03,Kharif,460,Hectare,89,Tonnes,0.193478261
Chhattisgarh,RAIPUR,Moong(Green Gram),2002-03,Rabi,1425,Hectare,302,Tonnes,0.211929825
Chhattisgarh,RAIPUR,Moong(Green Gram),2003-04,Kharif,453,Hectare,96,Tonnes,0.21192053
Chhattisgarh,RAIPUR,Moong(Green Gram),2003-04,Rabi,1657,Hectare,286,Tonnes,0.172601086
Chhattisgarh,RAJNANDGAON,Moong(Green Gram),2001-02,Kharif,449,Hectare,92,Tonnes,0.204899777
Chhattisgarh,RAJNANDGAON,Moong(Green Gram),2001-02,Rabi,70,Hectare,15,Tonnes,0.214285714
Chhattisgarh,RAJNANDGAON,Moong(Green Gram),2002-03,Kharif,470,Hectare,86,Tonnes,0.182978723
Chhattisgarh,RAJNANDGAON,Moong(Green Gram),2002-03,Rabi,190,Hectare,35,Tonnes,0.184210526
Chhattisgarh,RAJNANDGAON,Moong(Green Gram),2003-04,Kharif,577,Hectare,131,Tonnes,0.227036395
Chhattisgarh,RAJNANDGAON,Moong(Green Gram),2003-04,Rabi,86,Hectare,18,Tonnes,0.209302326
Chhattisgarh,SURGUJA,Moong(Green Gram),2001-02,Kharif,93,Hectare,18,Tonnes,0.193548387
Chhattisgarh,SURGUJA,Moong(Green Gram),2001-02,Rabi,13,Hectare,2,Tonnes,0.153846154
Chhattisgarh,SURGUJA,Moong(Green Gram),2002-03,Kharif,93,Hectare,17,Tonnes,0.182795699
Chhattisgarh,SURGUJA,Moong(Green Gram),2002-03,Rabi,10,Hectare,2,Tonnes,0.2
Chhattisgarh,SURGUJA,Moong(Green Gram),2003-04,Kharif,78,Hectare,15,Tonnes,0.192307692
Chhattisgarh,SURGUJA,Moong(Green Gram),2003-04,Rabi,12,Hectare,3,Tonnes,0.25
Chhattisgarh,BASTAR,Niger seed,2001-02,Kharif,16219,Hectare,3776,Tonnes,0.232813367
Chhattisgarh,BASTAR,Niger seed,2002-03,Kharif,14806,Hectare,2597,Tonnes,0.175401864
Chhattisgarh,BASTAR,Niger seed,2003-04,Kharif,15531,Hectare,3249,Tonnes,0.209194514
Chhattisgarh,BILASPUR,Niger seed,2001-02,Kharif,826,Hectare,202,Tonnes,0.244552058
Chhattisgarh,BILASPUR,Niger seed,2002-03,Kharif,678,Hectare,100,Tonnes,0.147492625
Chhattisgarh,BILASPUR,Niger seed,2003-04,Kharif,717,Hectare,179,Tonnes,0.249651325
Chhattisgarh,DANTEWADA,Niger seed,2001-02,Kharif,724,Hectare,139,Tonnes,0.19198895
Chhattisgarh,DANTEWADA,Niger seed,2002-03,Kharif,457,Hectare,72,Tonnes,0.157549234
Chhattisgarh,DANTEWADA,Niger seed,2003-04,Kharif,530,Hectare,103,Tonnes,0.194339623
Chhattisgarh,DHAMTARI,Niger seed,2001-02,Kharif,3,Hectare,1,Tonnes,0.333333333
Chhattisgarh,DHAMTARI,Niger seed,2002-03,Kharif,3,Hectare,,Tonnes,0
Chhattisgarh,DHAMTARI,Niger seed,2003-04,Kharif,3,Hectare,1,Tonnes,0.333333333
Chhattisgarh,JASHPUR,Niger seed,2001-02,Kharif,23072,Hectare,3900,Tonnes,0.169036061
Chhattisgarh,JASHPUR,Niger seed,2002-03,Kharif,22600,Hectare,3570,Tonnes,0.157964602
Chhattisgarh,JASHPUR,Niger seed,2003-04,Kharif,23360,Hectare,3689,Tonnes,0.157919521
Chhattisgarh,KABIRDHAM,Niger seed,2001-02,Kharif,246,Hectare,47,Tonnes,0.191056911
Chhattisgarh,KABIRDHAM,Niger seed,2002-03,Kharif,240,Hectare,60,Tonnes,0.25
Chhattisgarh,KABIRDHAM,Niger seed,2003-04,Kharif,313,Hectare,56,Tonnes,0.178913738
Chhattisgarh,KANKER,Niger seed,2001-02,Kharif,561,Hectare,123,Tonnes,0.219251337
Chhattisgarh,KANKER,Niger seed,2002-03,Kharif,547,Hectare,53,Tonnes,0.096892139
Chhattisgarh,KANKER,Niger seed,2003-04,Kharif,548,Hectare,129,Tonnes,0.23540146
Chhattisgarh,KORBA,Niger seed,2001-02,Kharif,316,Hectare,81,Tonnes,0.256329114
Chhattisgarh,KORBA,Niger seed,2002-03,Kharif,296,Hectare,66,Tonnes,0.222972973
Chhattisgarh,KORBA,Niger seed,2003-04,Kharif,343,Hectare,76,Tonnes,0.221574344
Chhattisgarh,KOREA,Niger seed,2001-02,Kharif,2321,Hectare,436,Tonnes,0.187850065
Chhattisgarh,KOREA,Niger seed,2002-03,Kharif,1992,Hectare,311,Tonnes,0.156124498
Chhattisgarh,KOREA,Niger seed,2003-04,Kharif,2015,Hectare,333,Tonnes,0.165260546
Chhattisgarh,MAHASAMUND,Niger seed,2003-04,Kharif,1,Hectare,,Tonnes,0
Chhattisgarh,RAIGARH,Niger seed,2001-02,Kharif,1304,Hectare,203,Tonnes,0.155674847
Chhattisgarh,RAIGARH,Niger seed,2002-03,Kharif,1373,Hectare,156,Tonnes,0.113619811
Chhattisgarh,RAIGARH,Niger seed,2003-04,Kharif,1359,Hectare,225,Tonnes,0.165562914
Chhattisgarh,RAIPUR,Niger seed,2001-02,Kharif,105,Hectare,18,Tonnes,0.171428571
Chhattisgarh,RAIPUR,Niger seed,2002-03,Kharif,90,Hectare,15,Tonnes,0.166666667
Chhattisgarh,RAIPUR,Niger seed,2003-04,Kharif,80,Hectare,13,Tonnes,0.1625
Chhattisgarh,RAJNANDGAON,Niger seed,2001-02,Kharif,3,Hectare,1,Tonnes,0.333333333
Chhattisgarh,RAJNANDGAON,Niger seed,2002-03,Kharif,4,Hectare,1,Tonnes,0.25
Chhattisgarh,RAJNANDGAON,Niger seed,2003-04,Kharif,4,Hectare,1,Tonnes,0.25
Chhattisgarh,SURGUJA,Niger seed,2001-02,Kharif,28859,Hectare,5341,Tonnes,0.185072248
Chhattisgarh,SURGUJA,Niger seed,2002-03,Kharif,28893,Hectare,4511,Tonnes,0.156127782
Chhattisgarh,SURGUJA,Niger seed,2003-04,Kharif,29577,Hectare,5046,Tonnes,0.170605538
Chhattisgarh,BASTAR,Onion,2001-02,Whole Year,209,Hectare,1847,Tonnes,8.837320574
Chhattisgarh,BASTAR,Onion,2002-03,Whole Year,220,Hectare,1842,Tonnes,8.372727273
Chhattisgarh,BASTAR,Onion,2003-04,Whole Year,238,Hectare,1685,Tonnes,7.079831933
Chhattisgarh,BILASPUR,Onion,2001-02,Whole Year,76,Hectare,785,Tonnes,10.32894737
Chhattisgarh,BILASPUR,Onion,2002-03,Whole Year,209,Hectare,1848,Tonnes,8.842105263
Chhattisgarh,BILASPUR,Onion,2003-04,Whole Year,89,Hectare,887,Tonnes,9.966292135
Chhattisgarh,DHAMTARI,Onion,2001-02,Whole Year,169,Hectare,1463,Tonnes,8.656804734
Chhattisgarh,DHAMTARI,Onion,2002-03,Whole Year,83,Hectare,648,Tonnes,7.807228916
Chhattisgarh,DHAMTARI,Onion,2003-04,Whole Year,74,Hectare,492,Tonnes,6.648648649
Chhattisgarh,DURG,Onion,2001-02,Whole Year,169,Hectare,990,Tonnes,5.857988166
Chhattisgarh,DURG,Onion,2002-03,Whole Year,91,Hectare,550,Tonnes,6.043956044
Chhattisgarh,DURG,Onion,2003-04,Whole Year,244,Hectare,1392,Tonnes,5.704918033
Chhattisgarh,JANJGIR-CHAMPA,Onion,2001-02,Whole Year,80,Hectare,813,Tonnes,10.1625
Chhattisgarh,JANJGIR-CHAMPA,Onion,2002-03,Whole Year,313,Hectare,3013,Tonnes,9.626198083
Chhattisgarh,JANJGIR-CHAMPA,Onion,2003-04,Whole Year,299,Hectare,2638,Tonnes,8.822742475
Chhattisgarh,JASHPUR,Onion,2001-02,Whole Year,344,Hectare,4269,Tonnes,12.40988372
Chhattisgarh,JASHPUR,Onion,2002-03,Whole Year,357,Hectare,4059,Tonnes,11.3697479
Chhattisgarh,JASHPUR,Onion,2003-04,Whole Year,350,Hectare,3431,Tonnes,9.802857143
Chhattisgarh,KABIRDHAM,Onion,2001-02,Whole Year,227,Hectare,1670,Tonnes,7.356828194
Chhattisgarh,KABIRDHAM,Onion,2002-03,Whole Year,215,Hectare,1221,Tonnes,5.679069767
Chhattisgarh,KABIRDHAM,Onion,2003-04,Whole Year,205,Hectare,1137,Tonnes,5.546341463
Chhattisgarh,KANKER,Onion,2001-02,Whole Year,81,Hectare,819,Tonnes,10.11111111
Chhattisgarh,KANKER,Onion,2002-03,Whole Year,102,Hectare,549,Tonnes,5.382352941
Chhattisgarh,KANKER,Onion,2003-04,Whole Year,55,Hectare,389,Tonnes,7.072727273
Chhattisgarh,KORBA,Onion,2001-02,Whole Year,109,Hectare,1107,Tonnes,10.1559633
Chhattisgarh,KORBA,Onion,2002-03,Whole Year,101,Hectare,968,Tonnes,9.584158416
Chhattisgarh,KORBA,Onion,2003-04,Whole Year,110,Hectare,895,Tonnes,8.136363636
Chhattisgarh,KOREA,Onion,2001-02,Whole Year,86,Hectare,620,Tonnes,7.209302326
Chhattisgarh,KOREA,Onion,2002-03,Whole Year,80,Hectare,610,Tonnes,7.625
Chhattisgarh,KOREA,Onion,2003-04,Whole Year,90,Hectare,563,Tonnes,6.255555556
Chhattisgarh,MAHASAMUND,Onion,2001-02,Whole Year,253,Hectare,1740,Tonnes,6.877470356
Chhattisgarh,MAHASAMUND,Onion,2002-03,Whole Year,247,Hectare,1834,Tonnes,7.425101215
Chhattisgarh,MAHASAMUND,Onion,2003-04,Whole Year,261,Hectare,1611,Tonnes,6.172413793
Chhattisgarh,RAIGARH,Onion,2001-02,Whole Year,421,Hectare,5226,Tonnes,12.41330166
Chhattisgarh,RAIGARH,Onion,2002-03,Whole Year,447,Hectare,5170,Tonnes,11.56599553
Chhattisgarh,RAIGARH,Onion,2003-04,Whole Year,629,Hectare,6156,Tonnes,9.786963434
Chhattisgarh,RAIPUR,Onion,2001-02,Whole Year,336,Hectare,2817,Tonnes,8.383928571
Chhattisgarh,RAIPUR,Onion,2002-03,Whole Year,378,Hectare,2952,Tonnes,7.80952381
Chhattisgarh,RAIPUR,Onion,2003-04,Whole Year,391,Hectare,2590,Tonnes,6.624040921
Chhattisgarh,RAJNANDGAON,Onion,2001-02,Whole Year,273,Hectare,1741,Tonnes,6.377289377
Chhattisgarh,RAJNANDGAON,Onion,2002-03,Whole Year,264,Hectare,1650,Tonnes,6.25
Chhattisgarh,RAJNANDGAON,Onion,2003-04,Whole Year,240,Hectare,1495,Tonnes,6.229166667
Chhattisgarh,SURGUJA,Onion,2001-02,Whole Year,1003,Hectare,7950,Tonnes,7.926221336
Chhattisgarh,SURGUJA,Onion,2002-03,Whole Year,1038,Hectare,7916,Tonnes,7.626204239
Chhattisgarh,SURGUJA,Onion,2003-04,Whole Year,1166,Hectare,7187,Tonnes,6.16380789
Chhattisgarh,BASTAR,Other Rabi pulses,2001-02,Rabi,21,Hectare,7,Tonnes,0.333333333
Chhattisgarh,BASTAR,Other Rabi pulses,2002-03,Rabi,31,Hectare,10,Tonnes,0.322580645
Chhattisgarh,BASTAR,Other Rabi pulses,2003-04,Rabi,14,Hectare,5,Tonnes,0.357142857
Chhattisgarh,BILASPUR,Other Rabi pulses,2001-02,Rabi,92,Hectare,38,Tonnes,0.413043478
Chhattisgarh,BILASPUR,Other Rabi pulses,2002-03,Rabi,103,Hectare,38,Tonnes,0.368932039
Chhattisgarh,BILASPUR,Other Rabi pulses,2003-04,Rabi,111,Hectare,46,Tonnes,0.414414414
Chhattisgarh,DANTEWADA,Other Rabi pulses,2001-02,Rabi,25,Hectare,9,Tonnes,0.36
Chhattisgarh,DANTEWADA,Other Rabi pulses,2002-03,Rabi,61,Hectare,12,Tonnes,0.196721311
Chhattisgarh,DANTEWADA,Other Rabi pulses,2003-04,Rabi,18,Hectare,5,Tonnes,0.277777778
Chhattisgarh,DHAMTARI,Other Rabi pulses,2001-02,Rabi,89,Hectare,49,Tonnes,0.550561798
Chhattisgarh,DHAMTARI,Other Rabi pulses,2002-03,Rabi,104,Hectare,42,Tonnes,0.403846154
Chhattisgarh,DHAMTARI,Other Rabi pulses,2003-04,Rabi,146,Hectare,57,Tonnes,0.390410959
Chhattisgarh,DURG,Other Rabi pulses,2002-03,Rabi,1,Hectare,,Tonnes,0
Chhattisgarh,JANJGIR-CHAMPA,Other Rabi pulses,2001-02,Rabi,126,Hectare,55,Tonnes,0.436507937
Chhattisgarh,JANJGIR-CHAMPA,Other Rabi pulses,2002-03,Rabi,94,Hectare,41,Tonnes,0.436170213
Chhattisgarh,JANJGIR-CHAMPA,Other Rabi pulses,2003-04,Rabi,78,Hectare,30,Tonnes,0.384615385
Chhattisgarh,JASHPUR,Other Rabi pulses,2001-02,Rabi,15,Hectare,4,Tonnes,0.266666667
Chhattisgarh,JASHPUR,Other Rabi pulses,2002-03,Rabi,32,Hectare,8,Tonnes,0.25
Chhattisgarh,JASHPUR,Other Rabi pulses,2003-04,Rabi,40,Hectare,11,Tonnes,0.275
Chhattisgarh,KABIRDHAM,Other Rabi pulses,2001-02,Rabi,21,Hectare,6,Tonnes,0.285714286
Chhattisgarh,KABIRDHAM,Other Rabi pulses,2002-03,Rabi,6,Hectare,2,Tonnes,0.333333333
Chhattisgarh,KABIRDHAM,Other Rabi pulses,2003-04,Rabi,7,Hectare,2,Tonnes,0.285714286
Chhattisgarh,KANKER,Other Rabi pulses,2001-02,Rabi,1,Hectare,,Tonnes,0
Chhattisgarh,KANKER,Other Rabi pulses,2002-03,Rabi,19,Hectare,6,Tonnes,0.315789474
Chhattisgarh,KANKER,Other Rabi pulses,2003-04,Rabi,3,Hectare,1,Tonnes,0.333333333
Chhattisgarh,KORBA,Other Rabi pulses,2001-02,Rabi,17,Hectare,7,Tonnes,0.411764706
Chhattisgarh,KORBA,Other Rabi pulses,2002-03,Rabi,31,Hectare,14,Tonnes,0.451612903
Chhattisgarh,KORBA,Other Rabi pulses,2003-04,Rabi,29,Hectare,12,Tonnes,0.413793103
Chhattisgarh,MAHASAMUND,Other Rabi pulses,2001-02,Rabi,64,Hectare,20,Tonnes,0.3125
Chhattisgarh,MAHASAMUND,Other Rabi pulses,2002-03,Rabi,40,Hectare,14,Tonnes,0.35
Chhattisgarh,RAIGARH,Other Rabi pulses,2001-02,Rabi,171,Hectare,29,Tonnes,0.169590643
Chhattisgarh,RAIGARH,Other Rabi pulses,2002-03,Rabi,228,Hectare,64,Tonnes,0.280701754
Chhattisgarh,RAIGARH,Other Rabi pulses,2003-04,Rabi,401,Hectare,108,Tonnes,0.269326683
Chhattisgarh,RAIPUR,Other Rabi pulses,2001-02,Rabi,302,Hectare,103,Tonnes,0.341059603
Chhattisgarh,RAIPUR,Other Rabi pulses,2002-03,Rabi,282,Hectare,96,Tonnes,0.340425532
Chhattisgarh,RAIPUR,Other Rabi pulses,2003-04,Rabi,295,Hectare,99,Tonnes,0.33559322
Chhattisgarh,RAJNANDGAON,Other Rabi pulses,2001-02,Rabi,80,Hectare,29,Tonnes,0.3625
Chhattisgarh,RAJNANDGAON,Other Rabi pulses,2002-03,Rabi,124,Hectare,44,Tonnes,0.35483871
Chhattisgarh,RAJNANDGAON,Other Rabi pulses,2003-04,Rabi,176,Hectare,53,Tonnes,0.301136364
Chhattisgarh,BASTAR,Other Kharif pulses,2001-02,Kharif,195,Hectare,62,Tonnes,0.317948718
Chhattisgarh,BASTAR,Other Kharif pulses,2002-03,Kharif,194,Hectare,61,Tonnes,0.31443299
Chhattisgarh,BASTAR,Other Kharif pulses,2003-04,Kharif,228,Hectare,73,Tonnes,0.320175439
Chhattisgarh,BILASPUR,Other Kharif pulses,2001-02,Kharif,262,Hectare,118,Tonnes,0.450381679
Chhattisgarh,BILASPUR,Other Kharif pulses,2002-03,Kharif,245,Hectare,98,Tonnes,0.4
Chhattisgarh,BILASPUR,Other Kharif pulses,2003-04,Kharif,227,Hectare,105,Tonnes,0.462555066
Chhattisgarh,DANTEWADA,Other Kharif pulses,2001-02,Kharif,356,Hectare,115,Tonnes,0.323033708
Chhattisgarh,DANTEWADA,Other Kharif pulses,2002-03,Kharif,337,Hectare,71,Tonnes,0.210682493
Chhattisgarh,DANTEWADA,Other Kharif pulses,2003-04,Kharif,345,Hectare,100,Tonnes,0.289855072
Chhattisgarh,DHAMTARI,Other Kharif pulses,2001-02,Kharif,190,Hectare,79,Tonnes,0.415789474
Chhattisgarh,DHAMTARI,Other Kharif pulses,2002-03,Kharif,190,Hectare,76,Tonnes,0.4
Chhattisgarh,DHAMTARI,Other Kharif pulses,2003-04,Kharif,164,Hectare,63,Tonnes,0.384146341
Chhattisgarh,DURG,Other Kharif pulses,2002-03,Kharif,8,Hectare,2,Tonnes,0.25
Chhattisgarh,JANJGIR-CHAMPA,Other Kharif pulses,2001-02,Kharif,251,Hectare,115,Tonnes,0.458167331
Chhattisgarh,JANJGIR-CHAMPA,Other Kharif pulses,2002-03,Kharif,195,Hectare,94,Tonnes,0.482051282
Chhattisgarh,JANJGIR-CHAMPA,Other Kharif pulses,2003-04,Kharif,216,Hectare,91,Tonnes,0.421296296
Chhattisgarh,JASHPUR,Other Kharif pulses,2001-02,Kharif,321,Hectare,92,Tonnes,0.286604361
Chhattisgarh,JASHPUR,Other Kharif pulses,2002-03,Kharif,328,Hectare,96,Tonnes,0.292682927
Chhattisgarh,JASHPUR,Other Kharif pulses,2003-04,Kharif,334,Hectare,93,Tonnes,0.278443114
Chhattisgarh,KABIRDHAM,Other Kharif pulses,2001-02,Kharif,89,Hectare,24,Tonnes,0.269662921
Chhattisgarh,KABIRDHAM,Other Kharif pulses,2002-03,Kharif,58,Hectare,16,Tonnes,0.275862069
Chhattisgarh,KABIRDHAM,Other Kharif pulses,2003-04,Kharif,51,Hectare,15,Tonnes,0.294117647
Chhattisgarh,KANKER,Other Kharif pulses,2001-02,Kharif,351,Hectare,138,Tonnes,0.393162393
Chhattisgarh,KANKER,Other Kharif pulses,2002-03,Kharif,151,Hectare,26,Tonnes,0.17218543
Chhattisgarh,KANKER,Other Kharif pulses,2003-04,Kharif,182,Hectare,54,Tonnes,0.296703297
Chhattisgarh,KORBA,Other Kharif pulses,2001-02,Kharif,629,Hectare,293,Tonnes,0.46581876
Chhattisgarh,KORBA,Other Kharif pulses,2002-03,Kharif,764,Hectare,357,Tonnes,0.467277487
Chhattisgarh,KORBA,Other Kharif pulses,2003-04,Kharif,723,Hectare,310,Tonnes,0.428769018
Chhattisgarh,KOREA,Other Kharif pulses,2001-02,Kharif,231,Hectare,65,Tonnes,0.281385281
Chhattisgarh,KOREA,Other Kharif pulses,2002-03,Kharif,164,Hectare,47,Tonnes,0.286585366
Chhattisgarh,KOREA,Other Kharif pulses,2003-04,Kharif,98,Hectare,27,Tonnes,0.275510204
Chhattisgarh,MAHASAMUND,Other Kharif pulses,2001-02,Kharif,139,Hectare,51,Tonnes,0.366906475
Chhattisgarh,MAHASAMUND,Other Kharif pulses,2002-03,Kharif,123,Hectare,44,Tonnes,0.357723577
Chhattisgarh,MAHASAMUND,Other Kharif pulses,2003-04,Kharif,117,Hectare,37,Tonnes,0.316239316
Chhattisgarh,RAIGARH,Other Kharif pulses,2001-02,Kharif,1248,Hectare,360,Tonnes,0.288461538
Chhattisgarh,RAIGARH,Other Kharif pulses,2002-03,Kharif,1271,Hectare,354,Tonnes,0.27852085
Chhattisgarh,RAIGARH,Other Kharif pulses,2003-04,Kharif,1266,Hectare,305,Tonnes,0.240916272
Chhattisgarh,RAIPUR,Other Kharif pulses,2001-02,Kharif,305,Hectare,102,Tonnes,0.33442623
Chhattisgarh,RAIPUR,Other Kharif pulses,2002-03,Kharif,352,Hectare,117,Tonnes,0.332386364
Chhattisgarh,RAIPUR,Other Kharif pulses,2003-04,Kharif,382,Hectare,128,Tonnes,0.335078534
Chhattisgarh,RAJNANDGAON,Other Kharif pulses,2001-02,Kharif,312,Hectare,105,Tonnes,0.336538462
Chhattisgarh,RAJNANDGAON,Other Kharif pulses,2002-03,Kharif,312,Hectare,107,Tonnes,0.342948718
Chhattisgarh,RAJNANDGAON,Other Kharif pulses,2003-04,Kharif,287,Hectare,101,Tonnes,0.351916376
Chhattisgarh,SURGUJA,Other Kharif pulses,2001-02,Kharif,875,Hectare,247,Tonnes,0.282285714
Chhattisgarh,SURGUJA,Other Kharif pulses,2002-03,Kharif,873,Hectare,248,Tonnes,0.284077892
Chhattisgarh,SURGUJA,Other Kharif pulses,2003-04,Kharif,859,Hectare,236,Tonnes,0.274738068
Chhattisgarh,BASTAR,Peas & beans (Pulses),2001-02,Rabi,239,Hectare,76,Tonnes,0.317991632
Chhattisgarh,BASTAR,Peas & beans (Pulses),2002-03,Rabi,232,Hectare,64,Tonnes,0.275862069
Chhattisgarh,BASTAR,Peas & beans (Pulses),2003-04,Rabi,289,Hectare,84,Tonnes,0.290657439
Chhattisgarh,BILASPUR,Peas & beans (Pulses),2001-02,Rabi,803,Hectare,271,Tonnes,0.337484433
Chhattisgarh,BILASPUR,Peas & beans (Pulses),2002-03,Rabi,727,Hectare,232,Tonnes,0.31911967
Chhattisgarh,BILASPUR,Peas & beans (Pulses),2003-04,Rabi,898,Hectare,313,Tonnes,0.348552339
Chhattisgarh,DANTEWADA,Peas & beans (Pulses),2001-02,Rabi,1,Hectare,,Tonnes,0
Chhattisgarh,DANTEWADA,Peas & beans (Pulses),2002-03,Rabi,4,Hectare,1,Tonnes,0.25
Chhattisgarh,DANTEWADA,Peas & beans (Pulses),2003-04,Rabi,3,Hectare,1,Tonnes,0.333333333
Chhattisgarh,DHAMTARI,Peas & beans (Pulses),2001-02,Rabi,1705,Hectare,666,Tonnes,0.390615836
Chhattisgarh,DHAMTARI,Peas & beans (Pulses),2002-03,Rabi,1448,Hectare,565,Tonnes,0.39019337
Chhattisgarh,DHAMTARI,Peas & beans (Pulses),2003-04,Rabi,3752,Hectare,1464,Tonnes,0.390191898
Chhattisgarh,DURG,Peas & beans (Pulses),2001-02,Rabi,756,Hectare,221,Tonnes,0.292328042
Chhattisgarh,DURG,Peas & beans (Pulses),2002-03,Rabi,790,Hectare,240,Tonnes,0.303797468
Chhattisgarh,DURG,Peas & beans (Pulses),2003-04,Rabi,1061,Hectare,324,Tonnes,0.30537229
Chhattisgarh,JANJGIR-CHAMPA,Peas & beans (Pulses),2001-02,Rabi,215,Hectare,69,Tonnes,0.320930233
Chhattisgarh,JANJGIR-CHAMPA,Peas & beans (Pulses),2002-03,Rabi,263,Hectare,87,Tonnes,0.330798479
Chhattisgarh,JANJGIR-CHAMPA,Peas & beans (Pulses),2003-04,Rabi,364,Hectare,131,Tonnes,0.35989011
Chhattisgarh,JASHPUR,Peas & beans (Pulses),2001-02,Rabi,1107,Hectare,381,Tonnes,0.344173442
Chhattisgarh,JASHPUR,Peas & beans (Pulses),2002-03,Rabi,1194,Hectare,389,Tonnes,0.325795645
Chhattisgarh,JASHPUR,Peas & beans (Pulses),2003-04,Rabi,1275,Hectare,446,Tonnes,0.349803922
Chhattisgarh,KABIRDHAM,Peas & beans (Pulses),2001-02,Rabi,277,Hectare,87,Tonnes,0.314079422
Chhattisgarh,KABIRDHAM,Peas & beans (Pulses),2002-03,Rabi,244,Hectare,70,Tonnes,0.286885246
Chhattisgarh,KABIRDHAM,Peas & beans (Pulses),2003-04,Rabi,240,Hectare,67,Tonnes,0.279166667
Chhattisgarh,KANKER,Peas & beans (Pulses),2001-02,Rabi,1063,Hectare,300,Tonnes,0.282220132
Chhattisgarh,KANKER,Peas & beans (Pulses),2002-03,Rabi,1304,Hectare,306,Tonnes,0.234662577
Chhattisgarh,KANKER,Peas & beans (Pulses),2003-04,Rabi,1735,Hectare,652,Tonnes,0.375792507
Chhattisgarh,KORBA,Peas & beans (Pulses),2001-02,Rabi,127,Hectare,46,Tonnes,0.362204724
Chhattisgarh,KORBA,Peas & beans (Pulses),2002-03,Rabi,97,Hectare,28,Tonnes,0.288659794
Chhattisgarh,KORBA,Peas & beans (Pulses),2003-04,Rabi,141,Hectare,43,Tonnes,0.304964539
Chhattisgarh,KOREA,Peas & beans (Pulses),2001-02,Rabi,439,Hectare,175,Tonnes,0.398633257
Chhattisgarh,KOREA,Peas & beans (Pulses),2002-03,Rabi,239,Hectare,61,Tonnes,0.255230126
Chhattisgarh,KOREA,Peas & beans (Pulses),2003-04,Rabi,323,Hectare,127,Tonnes,0.393188854
Chhattisgarh,MAHASAMUND,Peas & beans (Pulses),2001-02,Rabi,99,Hectare,40,Tonnes,0.404040404
Chhattisgarh,MAHASAMUND,Peas & beans (Pulses),2002-03,Rabi,219,Hectare,71,Tonnes,0.324200913
Chhattisgarh,MAHASAMUND,Peas & beans (Pulses),2003-04,Rabi,246,Hectare,80,Tonnes,0.325203252
Chhattisgarh,RAIGARH,Peas & beans (Pulses),2001-02,Rabi,903,Hectare,321,Tonnes,0.355481728
Chhattisgarh,RAIGARH,Peas & beans (Pulses),2002-03,Rabi,1230,Hectare,422,Tonnes,0.343089431
Chhattisgarh,RAIGARH,Peas & beans (Pulses),2003-04,Rabi,1618,Hectare,604,Tonnes,0.373300371
Chhattisgarh,RAIPUR,Peas & beans (Pulses),2001-02,Rabi,1422,Hectare,601,Tonnes,0.422644163
Chhattisgarh,RAIPUR,Peas & beans (Pulses),2002-03,Rabi,984,Hectare,352,Tonnes,0.357723577
Chhattisgarh,RAIPUR,Peas & beans (Pulses),2003-04,Rabi,2341,Hectare,838,Tonnes,0.357966681
Chhattisgarh,RAJNANDGAON,Peas & beans (Pulses),2001-02,Rabi,184,Hectare,55,Tonnes,0.298913043
Chhattisgarh,RAJNANDGAON,Peas & beans (Pulses),2002-03,Rabi,169,Hectare,41,Tonnes,0.24260355
Chhattisgarh,RAJNANDGAON,Peas & beans (Pulses),2003-04,Rabi,203,Hectare,60,Tonnes,0.295566502
Chhattisgarh,SURGUJA,Peas & beans (Pulses),2001-02,Rabi,2511,Hectare,1107,Tonnes,0.440860215
Chhattisgarh,SURGUJA,Peas & beans (Pulses),2002-03,Rabi,3037,Hectare,1251,Tonnes,0.411919658
Chhattisgarh,SURGUJA,Peas & beans (Pulses),2003-04,Rabi,2818,Hectare,1263,Tonnes,0.448190206
Chhattisgarh,BASTAR,Potato,2001-02,Whole Year,179,Hectare,1323,Tonnes,7.391061453
Chhattisgarh,BASTAR,Potato,2002-03,Whole Year,155,Hectare,1185,Tonnes,7.64516129
